"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.752838167E0,-2.325003967E-3,4.562847316E-3,9.643619880E-3
2.762832167E0,5.309495609E-3,4.760631360E-3,-2.480987459E-4
2.772826167E0,1.346356235E-2,-5.054182373E-3,-7.261533290E-3
2.782820167E0,1.238455065E-2,-1.006394345E-2,-1.380706299E-2
2.792814167E0,1.718809456E-2,-2.575608715E-2,-2.010277659E-2
2.802808167E0,1.904348098E-2,-3.584121540E-2,-1.975679398E-2
2.812802167E0,1.863415353E-2,-3.560552374E-2,-2.125801705E-2
2.822797167E0,1.997997053E-2,-3.059718199E-2,-1.569718309E-2
2.832791167E0,1.426056586E-2,-2.456751838E-2,-1.397411712E-2
2.842785167E0,6.049176212E-3,-1.780699752E-2,-7.283483632E-3
2.852779167E0,-2.324522939E-6,-5.938619375E-3,3.656479530E-4
2.862773167E0,-3.274643561E-3,2.808379941E-4,2.793561900E-3
2.872767167E0,-4.603827372E-3,1.385150664E-2,6.554211490E-3
2.882761167E0,-8.878380992E-3,2.083911188E-2,6.562660448E-3
2.892755167E0,-1.036841888E-2,1.948622614E-2,8.141914383E-3
2.902749917E0,-9.264193475E-3,1.762210019E-2,8.335612714E-3
2.912743917E0,-9.188559838E-3,1.449208707E-2,6.049822085E-3
2.922737917E0,-5.869315006E-3,1.177034155E-2,4.614490084E-3
2.932731917E0,-4.894598387E-3,1.051812246E-2,1.299120602E-3
2.942725917E0,-6.249545258E-4,1.566246152E-2,3.178006504E-3
2.952719917E0,-1.471834548E-4,1.048208028E-2,-3.508924507E-3
2.962713917E0,-9.987340309E-4,7.024317980E-3,-8.355559781E-3
2.972707917E0,-2.760414965E-3,1.704387716E-3,-1.254817471E-2
2.982701917E0,4.772703629E-3,-7.431941107E-3,-1.337696332E-2
2.992696917E0,4.545003176E-3,-5.028171930E-3,-1.403130125E-2
3.002690917E0,6.942364387E-3,-5.124390591E-3,-1.383892354E-2
3.012684917E0,9.904331528E-3,-1.986654475E-3,-7.210581563E-3
3.022678917E0,1.247772388E-2,6.374359364E-4,-8.126235567E-3
3.032672917E0,9.767158888E-3,-2.461151918E-3,-4.243346862E-3
3.042666917E0,9.270553477E-3,4.235866945E-4,-5.915889516E-3
3.052660917E0,2.602802124E-4,-4.680396523E-4,-1.786392182E-3
3.062654917E0,-2.853799611E-3,-8.804092184E-3,-3.073888831E-3
3.072648917E0,-6.331355311E-3,-9.167348035E-3,-1.658418681E-3
3.082643917E0,-1.241810247E-2,-8.650781587E-3,1.156186103E-3
3.092637917E0,-1.792658493E-2,-1.109662838E-2,8.605753537E-4
3.102631917E0,-1.830777526E-2,-1.119951159E-2,1.433330821E-3
3.112625917E0,-1.756422035E-2,-9.027703665E-3,5.934871733E-3
3.122619917E0,-1.612633280E-2,-3.327542217E-4,6.267466117E-3
3.132613917E0,-1.993065700E-2,6.492128596E-3,4.271427169E-3
3.142607917E0,-2.749419212E-2,1.114387251E-2,4.183959682E-3
3.152601917E0,-3.582349420E-2,1.715462841E-2,8.956876583E-3
3.162595917E0,-3.927007690E-2,2.186425962E-2,1.168403961E-2
3.172590917E0,-4.461077973E-2,2.749577910E-2,1.346063428E-2
3.182584917E0,-4.261008278E-2,3.747712448E-2,9.567145258E-3
3.192578917E0,-3.943879157E-2,3.503580391E-2,9.580194019E-3
3.202572917E0,-3.417919576E-2,3.341606632E-2,2.491280204E-3
3.212566917E0,-2.813301980E-2,2.164915577E-2,-1.869379543E-3
3.222560917E0,-1.679354720E-2,1.141995285E-2,-6.094751414E-3
3.232554917E0,-1.222310588E-3,3.755109152E-3,-1.291004755E-2
3.242548917E0,1.145893708E-2,-1.275599934E-3,-2.363840118E-2
3.252543917E0,2.080716379E-2,-1.108135935E-2,-2.980148979E-2
3.262537917E0,3.058907762E-2,-2.179514989E-2,-3.141558543E-2
3.272531917E0,3.353187069E-2,-2.976226434E-2,-3.138709068E-2
3.282525917E0,3.575272486E-2,-3.218202665E-2,-2.799851634E-2
3.292519917E0,3.434338048E-2,-2.817743272E-2,-2.263917029E-2
3.302513917E0,2.890010737E-2,-1.841135509E-2,-1.495538000E-2
3.312507917E0,1.795504801E-2,-8.424768224E-3,-9.313739836E-3
3.322501917E0,7.543722633E-3,4.227377940E-3,-7.771009579E-3
3.332495917E0,9.942107135E-4,1.101471018E-2,-7.065005600E-3
3.342489917E0,-1.276813261E-2,1.396549679E-2,-9.082160890E-3
3.352484917E0,-1.732080802E-2,1.083601639E-2,-4.689276218E-3
3.362478917E0,-2.476033010E-2,1.512858272E-2,-3.772714874E-3
3.372472917E0,-2.561440505E-2,1.735232212E-2,-1.458161743E-3
3.382466917E0,-2.236843482E-2,1.809268259E-2,9.220556822E-4
3.392460917E0,-2.627902105E-2,1.325212233E-2,6.486464292E-3
3.402454917E0,-2.334188297E-2,8.259849623E-3,3.871214343E-3
3.412448917E0,-2.102626488E-2,7.901388220E-3,3.773210105E-3
3.422442917E0,-1.457079966E-2,5.534635857E-3,4.221932031E-4
3.432436917E0,-1.277822629E-2,3.598517738E-3,-2.373060677E-3
3.442431917E0,-3.804447129E-3,-1.210443676E-3,-3.124235431E-3
3.452425917E0,8.406382985E-4,-6.732508074E-3,-7.459063083E-3
3.462419917E0,3.573630471E-3,-1.245358866E-2,-6.917088293E-3
3.472413917E0,8.052002639E-3,-1.417931728E-2,-7.447323762E-3
3.482407917E0,1.248786412E-2,-1.458074339E-2,-7.613518275E-3
3.492401917E0,1.268680207E-2,-1.324143913E-2,-5.020397715E-3
3.502395917E0,1.179540530E-2,-1.335702371E-2,-1.489045098E-4
3.512389917E0,8.998819627E-3,-8.806480095E-3,3.145425580E-3
3.522383917E0,5.640941206E-3,-9.820166975E-3,7.953217253E-3
3.532378917E0,3.005476901E-3,-5.868302658E-3,1.179083250E-2
3.542372917E0,1.972096041E-3,-3.656019457E-3,1.303593721E-2
3.552366917E0,-2.827452729E-3,4.458632320E-3,1.743388176E-2
3.562360917E0,-1.219811570E-2,6.023063790E-3,1.376268826E-2
3.572354917E0,-1.502745785E-2,9.630572749E-4,1.396721974E-2
3.582348917E0,-1.360223442E-2,7.138734218E-4,1.241647359E-2
3.592342917E0,-1.434658840E-2,1.244108891E-3,9.457435459E-3
3.602336917E0,-1.485021878E-2,1.809324487E-3,4.816812463E-3
3.612330917E0,-7.432783023E-3,-6.724508945E-3,5.217618309E-3
3.622324917E0,-2.639902290E-3,-1.318436675E-2,7.289927453E-3
3.632319917E0,3.676849417E-3,-1.057260484E-2,2.508488018E-3
3.642313917E0,6.911801640E-3,-5.591333844E-3,6.630958058E-3
3.652307917E0,1.231349166E-2,4.740156000E-4,4.290039185E-3
3.662301917E0,1.501104422E-2,4.921283107E-4,1.177830622E-3
3.672295917E0,1.313804276E-2,-5.643528420E-3,-2.648038790E-4
3.682289917E0,1.487675775E-2,-2.529935678E-3,-4.114961252E-3
3.692283917E0,1.252465416E-2,-1.418598578E-3,-7.634595037E-3
3.702277917E0,9.146002121E-3,-1.318551134E-3,-1.132628322E-2
3.712271917E0,8.163295686E-3,-1.808839152E-3,-8.891353384E-3
3.722266917E0,6.949543953E-3,-5.998003297E-3,-1.027151570E-2
3.732260917E0,9.148249403E-3,-6.914663594E-3,-1.231389400E-2
3.742254917E0,8.529075421E-3,-5.599498749E-3,-7.616447285E-3
3.752248917E0,8.021743037E-3,-3.915581852E-3,-3.306120867E-3
3.762242917E0,4.802285228E-3,-3.802321153E-4,8.473063353E-4
3.772236917E0,3.030484542E-3,2.873618156E-3,8.627527859E-4
3.782230917E0,-1.803025487E-3,4.356550518E-3,4.856214393E-3
