"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.558932552E2,-1.055473328E1,-2.106955719E1,-2.909886932E1
2.559032482E2,-1.045734406E1,-2.114466858E1,-2.895518875E1
2.559132422E2,-1.052189636E1,-2.109720993E1,-2.883486938E1
2.559232352E2,-1.033993530E1,-2.115505981E1,-2.892719650E1
2.559332292E2,-1.047917175E1,-2.128155899E1,-2.922325134E1
2.559432222E2,-1.058811188E1,-2.115561295E1,-2.901102448E1
2.559532152E2,-1.058510590E1,-2.121837997E1,-2.904746628E1
2.559632092E2,-1.061558533E1,-2.118373871E1,-2.912496185E1
2.559732022E2,-1.061558533E1,-2.118373871E1,-2.912496185E1
2.559831962E2,-1.060030365E1,-2.103283691E1,-2.904608917E1
2.559931892E2,-1.064319611E1,-2.108515167E1,-2.884975052E1
2.560031832E2,-1.053322601E1,-2.111233139E1,-2.892687988E1
2.560131762E2,-1.057151031E1,-2.118914413E1,-2.875313950E1
2.560231702E2,-1.062998199E1,-2.107178116E1,-2.881800461E1
2.560331632E2,-1.057682800E1,-2.118191528E1,-2.885648727E1
2.560431572E2,-1.053430176E1,-2.107974625E1,-2.889839554E1
2.560531502E2,-1.054866791E1,-2.112026978E1,-2.896607208E1
2.560631442E2,-1.059907532E1,-2.111989212E1,-2.904075241E1
2.560731372E2,-1.054845428E1,-2.122219849E1,-2.883149719E1
2.560831312E2,-1.052487946E1,-2.128994751E1,-2.909846878E1
2.560931242E2,-1.047801971E1,-2.130039978E1,-2.917284775E1
2.561031182E2,-1.046324158E1,-2.130810928E1,-2.903533173E1
2.561131112E2,-1.052497101E1,-2.134960175E1,-2.890560150E1
2.561231052E2,-1.054580688E1,-2.121223450E1,-2.885037231E1
2.561330982E2,-1.055690765E1,-2.133442307E1,-2.885207367E1
2.561430922E2,-1.034662628E1,-2.141054916E1,-2.886074829E1
2.561530845E2,-1.049378967E1,-2.138229370E1,-2.886692810E1
2.561630775E2,-1.052637482E1,-2.122166824E1,-2.884755325E1
2.561730715E2,-1.054226685E1,-2.124633026E1,-2.894420242E1
2.561830645E2,-1.041529083E1,-2.123054504E1,-2.872735214E1
2.561930585E2,-1.047879791E1,-2.136212921E1,-2.915241241E1
2.562030515E2,-1.034671021E1,-2.111778641E1,-2.876424408E1
2.562130455E2,-1.053476715E1,-2.115082932E1,-2.906354523E1
2.562230385E2,-1.045127869E1,-2.110419464E1,-2.900385284E1
2.562330325E2,-1.045127869E1,-2.110419464E1,-2.900385284E1
2.562430255E2,-1.052616119E1,-2.129704666E1,-2.916595078E1
2.562530195E2,-1.044126129E1,-2.135071182E1,-2.897617722E1
2.562630125E2,-1.035085297E1,-2.127091599E1,-2.910617828E1
2.562730065E2,-1.033590698E1,-2.137240982E1,-2.892180252E1
2.562829995E2,-1.034389496E1,-2.124761963E1,-2.873726654E1
2.562929935E2,-1.038865662E1,-2.108605576E1,-2.857791901E1
2.563029865E2,-1.037753296E1,-2.140016174E1,-2.880892944E1
2.563129805E2,-1.037248993E1,-2.133205032E1,-2.892913818E1
2.563229735E2,-1.035569763E1,-2.139153290E1,-2.906173325E1
2.563329675E2,-1.035884857E1,-2.129371262E1,-2.876934052E1
2.563429605E2,-1.028318787E1,-2.121939468E1,-2.892668915E1
2.563529535E2,-1.040241241E1,-2.121165848E1,-2.893281937E1
2.563629475E2,-1.041525269E1,-2.113045502E1,-2.872974777E1
2.563729405E2,-1.051815796E1,-2.112741089E1,-2.882958984E1
2.563829345E2,-1.039595032E1,-2.131597900E1,-2.886207581E1
2.563929275E2,-1.027880096E1,-2.126449203E1,-2.871146774E1
2.564029215E2,-1.039353180E1,-2.118481445E1,-2.888106155E1
2.564129145E2,-1.048188019E1,-2.128760529E1,-2.909141922E1
2.564229085E2,-1.040633392E1,-2.118689346E1,-2.907422256E1
2.564329015E2,-1.036250305E1,-2.124624634E1,-2.925971603E1
2.564428955E2,-1.028707123E1,-2.120307922E1,-2.886426544E1
2.564528885E2,-1.029774475E1,-2.108115387E1,-2.902356720E1
2.564628825E2,-1.031474304E1,-2.118201828E1,-2.889010239E1
2.564728755E2,-1.032038879E1,-2.125083923E1,-2.902313995E1
2.564828695E2,-1.024890900E1,-2.134828949E1,-2.910097504E1
2.564928625E2,-1.024890900E1,-2.134828949E1,-2.910097504E1
2.565028565E2,-1.015121460E1,-2.138856888E1,-2.890785599E1
2.565128495E2,-1.020240021E1,-2.140309906E1,-2.888788605E1
2.565228435E2,-1.011385345E1,-2.141574860E1,-2.884003448E1
2.565328365E2,-1.015795135E1,-2.136180115E1,-2.901882172E1
2.565428305E2,-1.018183136E1,-2.131200790E1,-2.912963486E1
2.565528235E2,-1.025621796E1,-2.136753464E1,-2.875361633E1
2.565628165E2,-1.022760010E1,-2.144871140E1,-2.872949219E1
2.565728105E2,-1.041007996E1,-2.131518555E1,-2.878792572E1
2.565828035E2,-1.029985046E1,-2.136435699E1,-2.870727158E1
2.565927975E2,-1.036353302E1,-2.126399612E1,-2.857374954E1
2.566027905E2,-1.014125824E1,-2.146704483E1,-2.888560486E1
2.566127845E2,-1.013153839E1,-2.132651520E1,-2.868532944E1
2.566227775E2,-1.017201996E1,-2.137199020E1,-2.890057373E1
2.566327715E2,-1.029515839E1,-2.132871628E1,-2.904553986E1
2.566427645E2,-1.028880310E1,-2.136625290E1,-2.882978058E1
2.566527585E2,-1.022646332E1,-2.136005020E1,-2.898167038E1
2.566627515E2,-1.017486572E1,-2.143832016E1,-2.887646484E1
2.566727455E2,-1.013145447E1,-2.146700287E1,-2.871989822E1
2.566827385E2,-9.937660217E0,-2.149576569E1,-2.885889816E1
2.566927325E2,-1.009906006E1,-2.153153610E1,-2.885407639E1
2.567027255E2,-1.007856750E1,-2.138033676E1,-2.880538177E1
2.567127195E2,-1.020263672E1,-2.142792511E1,-2.872063446E1
2.567227125E2,-1.015719604E1,-2.125774384E1,-2.898131561E1
2.567327065E2,-1.022056580E1,-2.148415375E1,-2.882292938E1
2.567426995E2,-1.012475586E1,-2.146927261E1,-2.865496063E1
2.567526925E2,-1.012475586E1,-2.146927261E1,-2.865496063E1
2.567626865E2,-1.023698425E1,-2.134698486E1,-2.893112946E1
2.567726795E2,-1.023578644E1,-2.141616440E1,-2.892672348E1
2.567826735E2,-1.025346375E1,-2.133864594E1,-2.888775635E1
2.567926665E2,-1.024016571E1,-2.126010513E1,-2.872736740E1
2.568026605E2,-1.022276306E1,-2.120880127E1,-2.893224335E1
2.568126535E2,-1.039164734E1,-2.135598755E1,-2.881560135E1
2.568226475E2,-1.041201782E1,-2.137867737E1,-2.896868515E1
2.568326405E2,-1.035043335E1,-2.127446747E1,-2.905470657E1
2.568426345E2,-1.033109283E1,-2.144350052E1,-2.902727127E1
2.568526275E2,-1.024230957E1,-2.136417770E1,-2.907822418E1
2.568626215E2,-1.030110168E1,-2.140342712E1,-2.900336838E1
2.568726145E2,-1.025724030E1,-2.114482117E1,-2.872421646E1
2.568826085E2,-1.018414307E1,-2.118532562E1,-2.896839523E1
2.568926015E2,-1.012756348E1,-2.122585678E1,-2.916513824E1
2.569025955E2,-1.009178925E1,-2.123608017E1,-2.894107056E1
2.569125885E2,-1.025372314E1,-2.117076492E1,-2.880807114E1
2.569225825E2,-1.024011230E1,-2.119701004E1,-2.877095032E1
2.569325755E2,-1.036148834E1,-2.115727615E1,-2.871078110E1
2.569425695E2,-1.034420013E1,-2.117245102E1,-2.882543564E1
2.569525625E2,-1.046318054E1,-2.122076035E1,-2.883386612E1
2.569625565E2,-1.029105377E1,-2.119905472E1,-2.889355087E1
2.569725495E2,-1.033092499E1,-2.124604034E1,-2.912904358E1
2.569825435E2,-1.019549561E1,-2.133909988E1,-2.888992691E1
2.569925365E2,-1.018477631E1,-2.135393524E1,-2.886308289E1
2.570025295E2,-1.025338745E1,-2.150162888E1,-2.874993896E1
2.570125235E2,-1.025338745E1,-2.150162888E1,-2.874993896E1
2.570225165E2,-1.034683990E1,-2.147399521E1,-2.867786026E1
2.570325105E2,-1.025914764E1,-2.140643311E1,-2.869323730E1
2.570425035E2,-1.036085510E1,-2.153884888E1,-2.865155029E1
2.570524975E2,-1.024451447E1,-2.140991211E1,-2.864943314E1
2.570624905E2,-1.029660034E1,-2.151224518E1,-2.865534592E1
2.570724845E2,-1.020504761E1,-2.141392517E1,-2.854582977E1
2.570824775E2,-1.039307404E1,-2.138145447E1,-2.857178116E1
2.570924715E2,-1.029673767E1,-2.132565689E1,-2.877428055E1
2.571024645E2,-1.031619263E1,-2.142341232E1,-2.872079086E1
2.571124585E2,-1.028626251E1,-2.154137802E1,-2.877277374E1
2.571224515E2,-1.049559021E1,-2.147640228E1,-2.853599930E1
2.571324455E2,-1.036138916E1,-2.149612808E1,-2.866444397E1
2.571424385E2,-1.038231659E1,-2.139722061E1,-2.883321762E1
2.571524330E2,-1.048488617E1,-2.146722794E1,-2.877877045E1
2.571624260E2,-1.051644897E1,-2.143087006E1,-2.864383316E1
2.571724200E2,-1.049899292E1,-2.126126862E1,-2.872752380E1
2.571824130E2,-1.044644165E1,-2.125274277E1,-2.877928925E1
2.571924070E2,-1.043980408E1,-2.136518478E1,-2.920468903E1
2.572024000E2,-1.040757751E1,-2.142793655E1,-2.888974762E1
2.572123930E2,-1.047489929E1,-2.139214706E1,-2.907341385E1
2.572223870E2,-1.044140625E1,-2.127067184E1,-2.872486496E1
2.572323800E2,-1.048349762E1,-2.126322174E1,-2.896834946E1
2.572423740E2,-1.035985565E1,-2.127653885E1,-2.900637436E1
2.572523670E2,-1.051374054E1,-2.126471710E1,-2.906388092E1
2.572623610E2,-1.051374054E1,-2.126471710E1,-2.906388092E1
2.572723540E2,-1.048793030E1,-2.137722778E1,-2.884924698E1
2.572823480E2,-1.050929260E1,-2.130342865E1,-2.895636368E1
2.572923410E2,-1.046354675E1,-2.131118774E1,-2.877491379E1
2.573023350E2,-1.044933319E1,-2.146457291E1,-2.869363785E1
2.573123280E2,-1.047704315E1,-2.141194916E1,-2.876424026E1
2.573223220E2,-1.039986420E1,-2.136842728E1,-2.908629227E1
2.573323150E2,-1.029846191E1,-2.137345123E1,-2.912879562E1
2.573423090E2,-1.041667175E1,-2.127779388E1,-2.893141556E1
2.573523020E2,-1.032838440E1,-2.147714233E1,-2.903862000E1
2.573622960E2,-1.031264496E1,-2.151357269E1,-2.893619537E1
2.573722890E2,-1.051757812E1,-2.132643890E1,-2.902114868E1
2.573822830E2,-1.058250427E1,-2.125915146E1,-2.907873154E1
2.573922760E2,-1.056018066E1,-2.125143051E1,-2.904016876E1
2.574022700E2,-1.049769592E1,-2.130873489E1,-2.885408020E1
2.574122630E2,-1.040917969E1,-2.135528183E1,-2.890443420E1
2.574222570E2,-1.045684814E1,-2.113027954E1,-2.883903503E1
2.574322500E2,-1.034898376E1,-2.136872101E1,-2.905978775E1
2.574422440E2,-1.036020660E1,-2.129367447E1,-2.902417755E1
2.574522370E2,-1.033812714E1,-2.122106171E1,-2.915145111E1
2.574622300E2,-1.042358398E1,-2.124377823E1,-2.893048477E1
2.574722240E2,-1.058509827E1,-2.130911255E1,-2.869517517E1
2.574822170E2,-1.050479889E1,-2.138414383E1,-2.890633392E1
2.574922110E2,-1.064793396E1,-2.134697723E1,-2.905331421E1
2.575022040E2,-1.059225464E1,-2.123331833E1,-2.890835953E1
2.575121980E2,-1.039193726E1,-2.135195923E1,-2.897712708E1
2.575221910E2,-1.039193726E1,-2.135195923E1,-2.897712708E1
2.575321850E2,-1.042098236E1,-2.136352539E1,-2.894844055E1
2.575421780E2,-1.055289459E1,-2.132191849E1,-2.889584732E1
2.575521720E2,-1.037110138E1,-2.125852203E1,-2.874753952E1
2.575621650E2,-1.050450134E1,-2.120818710E1,-2.879893494E1
2.575721590E2,-1.033245087E1,-2.118178940E1,-2.870843124E1
2.575821520E2,-1.036634064E1,-2.140149307E1,-2.899442291E1
2.575921460E2,-1.043500519E1,-2.138059998E1,-2.897818375E1
2.576021390E2,-1.039250183E1,-2.150093079E1,-2.894439697E1
