"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.349009875E0,-3.152907610E0,-5.036302805E-1,-1.337521553E0
2.359002875E0,-3.064409733E0,-8.901143670E-1,-1.385358810E0
2.368995875E0,-2.940274000E0,-1.128147960E0,-1.357149124E0
2.378988875E0,-2.825811863E0,-1.168807030E0,-1.238768935E0
2.388981875E0,-2.837128639E0,-1.157058120E0,-1.144753337E0
2.398974875E0,-2.941745043E0,-9.438909888E-1,-9.774918556E-1
2.408967875E0,-2.966657877E0,-5.750863552E-1,-6.728220582E-1
2.418960875E0,-2.894394398E0,-1.874049753E-1,-4.052055776E-1
2.428953875E0,-2.775154591E0,1.653291881E-1,-2.689046562E-1
2.438946875E0,-2.572914839E0,5.753542781E-1,-2.661533356E-1
2.448939875E0,-2.350410461E0,9.878104925E-1,-4.660397172E-1
2.458933875E0,-2.137984276E0,1.169954538E0,-7.297475338E-1
2.468926875E0,-1.974749088E0,9.708107114E-1,-8.715273142E-1
2.478919875E0,-1.907384872E0,5.227266550E-1,-8.744572997E-1
2.488912875E0,-1.908928394E0,9.108094126E-2,-7.851117253E-1
2.498905875E0,-1.976306558E0,-3.012554049E-1,-6.540274620E-1
2.508898875E0,-2.053555012E0,-6.239030957E-1,-5.087729096E-1
2.518891875E0,-2.135427475E0,-9.068911076E-1,-3.725130856E-1
2.528884875E0,-2.189232111E0,-1.096311688E0,-3.094163835E-1
2.538877875E0,-2.150876284E0,-1.337185621E0,-3.844363093E-1
2.548870875E0,-1.968761086E0,-1.445914507E0,-5.782206059E-1
2.558863875E0,-1.722112417E0,-1.291574717E0,-7.646062374E-1
2.568856875E0,-1.487452865E0,-1.197704196E0,-7.740563154E-1
2.578849875E0,-1.221876264E0,-1.169495106E0,-6.307672858E-1
2.588842875E0,-9.137266874E-1,-1.107742190E0,-4.430643618E-1
2.598835875E0,-5.697442889E-1,-9.774839282E-1,-3.119771779E-1
2.608828875E0,-2.130595148E-1,-8.636007309E-1,-2.430839092E-1
2.618821875E0,1.426557153E-1,-8.210434318E-1,-1.803904325E-1
2.628814875E0,5.102818012E-1,-8.269719481E-1,-8.538477868E-2
2.638807875E0,8.869118690E-1,-8.648031950E-1,4.761987552E-2
2.648800875E0,1.279566884E0,-9.099236131E-1,1.843008995E-1
2.658793875E0,1.687922478E0,-9.386620522E-1,2.998277545E-1
2.668786875E0,2.096732140E0,-9.365798831E-1,4.002007842E-1
2.678779875E0,2.494771481E0,-8.473027349E-1,4.875069261E-1
2.688772875E0,2.815781832E0,-6.757914424E-1,5.382818580E-1
2.698765875E0,3.045753479E0,-4.686489105E-1,5.510826111E-1
2.708758875E0,3.170697451E0,-2.409491837E-1,5.289874673E-1
2.718751875E0,3.159958839E0,1.721630432E-2,4.609996378E-1
2.728744875E0,2.900518656E0,4.029761553E-1,3.216180503E-1
2.738737875E0,2.339740753E0,8.235787153E-1,1.662745327E-1
2.748730875E0,1.713558197E0,8.624241352E-1,1.186681241E-1
