"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.303039725E1,1.764682007E1,3.457432938E1,2.885951233E1
4.304038925E1,1.785643005E1,3.395671844E1,2.930168915E1
4.305038225E1,1.817831421E1,3.345435333E1,2.987985992E1
4.306037525E1,1.790965271E1,3.288536835E1,3.076264954E1
4.307036825E1,1.706123352E1,3.222654724E1,3.195027924E1
4.308036125E1,1.578793335E1,3.153501511E1,3.343347168E1
4.309035425E1,1.466061401E1,3.109500122E1,3.488243866E1
4.310034725E1,1.332040405E1,3.073540115E1,3.544459534E1
4.311034025E1,1.266375732E1,3.036840820E1,3.636317444E1
4.312033325E1,1.236827087E1,2.997146606E1,3.645264435E1
4.313032625E1,1.260229492E1,2.971203232E1,3.655609131E1
4.314031925E1,1.341262817E1,2.949890518E1,3.645041656E1
4.315031225E1,1.430018616E1,2.918070602E1,3.623622894E1
4.316030525E1,1.536100769E1,2.882866287E1,3.614347839E1
4.317029825E1,1.658517456E1,2.831604004E1,3.590669250E1
4.318029125E1,1.750117493E1,2.801580048E1,3.558023071E1
4.319028425E1,1.861027527E1,2.770858002E1,3.549546814E1
4.320027725E1,1.923645020E1,2.754629135E1,3.501636505E1
4.321027025E1,2.000932312E1,2.741920471E1,3.489544678E1
4.322026325E1,2.058441162E1,2.725837326E1,3.480815125E1
4.323025625E1,2.111317444E1,2.736133194E1,3.421932983E1
4.324024925E1,2.153572083E1,2.744338989E1,3.380441284E1
4.325024225E1,2.203184509E1,2.773376083E1,3.310204315E1
4.326023425E1,2.203184509E1,2.773376083E1,3.310204315E1
4.327022750E1,2.238552856E1,2.816818237E1,3.269559479E1
4.328022050E1,2.267872620E1,2.879424286E1,3.176156616E1
4.329021350E1,2.319572449E1,2.950284576E1,3.073692322E1
4.330020650E1,2.335577393E1,3.046587753E1,2.938224030E1
4.331019950E1,2.342634583E1,3.158338928E1,2.800736237E1
4.332019250E1,2.367396545E1,3.232455826E1,2.643568420E1
4.333018550E1,2.372657776E1,3.344728088E1,2.494142914E1
4.334017850E1,2.395326233E1,3.422316360E1,2.370108032E1
4.335017150E1,2.402101135E1,3.500667191E1,2.263286591E1
4.336016450E1,2.426679993E1,3.535935974E1,2.124024200E1
4.337015750E1,2.466795349E1,3.556191254E1,2.041896057E1
4.338015050E1,2.516842651E1,3.562630463E1,1.949514008E1
4.339014350E1,2.568029785E1,3.574481964E1,1.895447540E1
4.340013650E1,2.598931885E1,3.579147339E1,1.822416687E1
4.341012950E1,2.606320190E1,3.583481598E1,1.768609619E1
4.342012250E1,2.608229065E1,3.577811813E1,1.730379486E1
4.343011550E1,2.628854370E1,3.576547623E1,1.701606750E1
4.344010850E1,2.623240662E1,3.585390854E1,1.686067963E1
4.345010150E1,2.638481140E1,3.578726196E1,1.669914246E1
4.346009450E1,2.654449463E1,3.569967651E1,1.673051453E1
4.347008750E1,2.675288391E1,3.569326401E1,1.669143677E1
4.348007950E1,2.670124817E1,3.558539963E1,1.680366516E1
4.349007250E1,2.701470947E1,3.537717438E1,1.637309265E1
4.350006550E1,2.731582642E1,3.535223007E1,1.622858429E1
4.351005850E1,2.790696716E1,3.517269135E1,1.583457947E1
4.352005150E1,2.790696716E1,3.517269135E1,1.583457947E1
4.353004450E1,2.824255371E1,3.493163300E1,1.506848145E1
4.354003750E1,2.899629211E1,3.468314362E1,1.416265869E1
4.355003050E1,2.967617798E1,3.439075851E1,1.338269806E1
4.356002350E1,3.021551514E1,3.394569016E1,1.238195038E1
4.357001650E1,3.091859436E1,3.365693665E1,1.109479523E1
4.358000950E1,3.144140625E1,3.355413437E1,9.906890869E0
4.359000250E1,3.161708069E1,3.365472412E1,8.979591370E0
4.359999550E1,3.162142944E1,3.376239395E1,7.786117554E0
4.360998850E1,3.148635864E1,3.406797028E1,6.510902405E0
4.361998150E1,3.133009338E1,3.427016830E1,5.876022339E0
4.362997450E1,3.110421753E1,3.448798370E1,5.083869934E0
