"Time (s)","X (hPa)"
2.822087538E2,1.015538940E3
2.832756758E2,1.015536423E3
2.843425958E2,1.015535965E3
2.854095648E2,1.015534668E3
2.864765478E2,1.015533218E3
2.875435398E2,1.015531540E3
2.886105228E2,1.015528870E3
2.896775048E2,1.015528259E3
2.907445078E2,1.015528183E3
2.918115048E2,1.015526733E3
2.928784958E2,1.015526733E3
2.939454098E2,1.015529480E3
2.950123698E2,1.015530548E3
2.960792998E2,1.015532379E3
2.971462618E2,1.015534134E3
2.982132348E2,1.015537033E3
2.992802458E2,1.015538101E3
3.003472078E2,1.015538559E3
3.014141948E2,1.015539093E3
3.024811588E2,1.015540466E3
3.049235560E2,1.015500336E3
3.059238520E2,1.015499725E3
3.069241770E2,1.015500336E3
3.079245150E2,1.015501251E3
3.089248820E2,1.015536652E3
3.092827020E2,1.015547104E3
3.117286913E2,1.015498047E3
3.127290313E2,1.015500031E3
3.137293763E2,1.015502090E3
3.147296943E2,1.015507660E3
3.157300163E2,1.015529327E3
3.160877813E2,1.015543594E3
3.171547193E2,1.015544891E3
3.182216733E2,1.015555344E3
3.192886583E2,1.015565491E3
3.203556483E2,1.015569687E3
3.214226603E2,1.015569687E3
3.224896293E2,1.015568619E3
3.235566083E2,1.015565033E3
3.246235963E2,1.015562134E3
3.256905713E2,1.015555725E3
3.267575683E2,1.015551300E3
3.278245793E2,1.015549622E3
3.288915883E2,1.015549622E3
3.299585583E2,1.015551147E3
3.310255143E2,1.015553284E3
3.320924413E2,1.015558777E3
3.331594503E2,1.015558777E3
3.342264513E2,1.015554886E3
3.366824794E2,1.015524063E3
3.376828544E2,1.015522308E3
3.386831954E2,1.015522537E3
3.396835214E2,1.015522537E3
3.406838714E2,1.015523224E3
3.410416174E2,1.015523224E3
3.421085834E2,1.015522537E3
3.431756054E2,1.015522537E3
3.442427054E2,1.015524216E3
3.453097914E2,1.015524216E3
3.463768434E2,1.015523834E3
3.474439014E2,1.015523300E3
3.485109164E2,1.015523300E3
3.495779154E2,1.015523300E3
3.506449644E2,1.015526047E3
3.517119764E2,1.015526886E3
3.527790444E2,1.015528412E3
