"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.843149875E0,-3.759646118E-1,-3.154169023E-1,5.555728823E-2
1.853161875E0,-4.042567015E-1,-3.191016316E-1,7.913026214E-2
1.863173875E0,-4.129579663E-1,-2.655346990E-1,9.243367612E-2
1.873184875E0,-3.900795579E-1,-1.811692119E-1,8.343352377E-2
1.883196875E0,-3.322042823E-1,-1.033234224E-1,5.859555304E-2
1.893208875E0,-2.686252892E-1,-4.838214815E-2,4.159206897E-2
1.903220875E0,-2.084239572E-1,1.474508550E-2,1.941288635E-2
1.913232875E0,-1.562531590E-1,6.735583395E-2,-7.033103146E-3
1.923244875E0,-1.069138646E-1,9.442693740E-2,-2.796552703E-2
1.933255875E0,-6.370780617E-2,1.168848425E-1,-4.286724329E-2
1.943267875E0,-2.781296521E-2,1.383733600E-1,-5.756700411E-2
1.953279875E0,9.843287989E-4,1.648281366E-1,-7.169613987E-2
1.963291875E0,2.832949907E-2,2.021305412E-1,-7.883313298E-2
1.973303875E0,6.271810085E-2,2.287672162E-1,-8.782582730E-2
1.983314875E0,1.067608967E-1,2.353358567E-1,-1.005284116E-1
1.993326875E0,1.475900859E-1,2.299416214E-1,-9.056206048E-2
2.003338875E0,1.913392991E-1,2.088467181E-1,-8.258119971E-2
2.013350875E0,2.257092446E-1,1.706439406E-1,-8.205042779E-2
2.023362875E0,2.415628135E-1,1.261663735E-1,-7.759463787E-2
2.033374875E0,2.349906564E-1,8.730552346E-2,-6.197439879E-2
2.043385875E0,2.095446736E-1,5.357385054E-2,-5.530533940E-2
2.053397875E0,1.710907668E-1,3.115190007E-2,-4.926395789E-2
2.063409875E0,1.313789934E-1,2.164802141E-2,-4.483231902E-2
2.073421875E0,9.067922831E-2,2.149515599E-2,-3.890226036E-2
2.083433875E0,4.747577757E-2,1.894081943E-2,-3.885293007E-2
2.093444875E0,1.999355294E-2,1.675489731E-2,-3.596473113E-2
2.103456875E0,1.579229720E-4,1.318928972E-2,-3.041964211E-2
2.113468875E0,-1.705941185E-2,5.144146737E-3,-2.938660234E-2
2.123480875E0,-3.326163813E-2,-1.028192416E-2,-2.585870400E-2
2.133492875E0,-5.101719871E-2,-1.975665428E-2,-1.974088885E-2
2.143504875E0,-6.376104802E-2,-2.877578698E-2,-2.391320840E-2
2.153515875E0,-7.497614622E-2,-4.180876538E-2,-2.122554556E-2
2.163527875E0,-9.418409318E-2,-6.415627152E-2,-1.804948971E-2
2.173539875E0,-1.135013327E-1,-8.985551447E-2,-1.594133116E-2
2.183551875E0,-1.236946955E-1,-9.853566438E-2,-8.646711707E-3
2.193563875E0,-1.246995106E-1,-9.206818044E-2,-7.554283366E-3
2.203575875E0,-1.266118288E-1,-9.189779311E-2,-2.292343881E-3
2.213586875E0,-1.240485385E-1,-9.578680247E-2,4.256902263E-3
2.223598875E0,-1.234928891E-1,-1.132037491E-1,4.439905751E-3
2.233610875E0,-1.157449558E-1,-1.239080578E-1,4.511012230E-3
2.243622875E0,-9.901900589E-2,-1.211366355E-1,1.052216999E-2
2.253634875E0,-8.911151439E-2,-1.088227108E-1,1.702587679E-2
2.263645875E0,-8.432433009E-2,-1.018231511E-1,2.145781741E-2
2.273657875E0,-8.199166507E-2,-1.043752581E-1,2.771544456E-2
2.283669875E0,-6.832513213E-2,-1.047113314E-1,3.527129441E-2
2.293681875E0,-5.130061135E-2,-9.466748685E-2,3.565665334E-2
2.303693875E0,-3.025662526E-2,-8.809793741E-2,3.420994058E-2
2.313705875E0,-2.194516547E-2,-8.681163192E-2,3.505576029E-2
2.323716875E0,-1.550747827E-2,-8.560223877E-2,3.261055052E-2
2.333728875E0,-1.224430744E-2,-8.114943653E-2,2.545063943E-2
2.343740875E0,-1.244194061E-2,-7.477680594E-2,2.012741193E-2
2.353752875E0,-8.633354679E-3,-5.954379588E-2,1.728688367E-2
2.363764875E0,-4.239785019E-3,-3.935768828E-2,7.016357966E-3
2.373776875E0,3.072961699E-4,-2.050144039E-2,-5.398285575E-4
2.383787875E0,2.170823747E-3,-3.248296212E-3,-3.182704560E-3
2.393799875E0,4.673662595E-3,2.478565322E-3,-3.755017882E-3
2.403811875E0,5.294080358E-3,5.996819586E-3,-5.441882182E-3
2.413823875E0,1.079830155E-2,7.663692348E-3,-8.870968595E-3
2.423835875E0,1.150248386E-2,4.036587663E-3,-1.231510565E-2
2.433846875E0,1.115121227E-2,-2.920121653E-3,-1.454816572E-2
2.443858875E0,7.679405157E-3,-1.169180218E-2,-1.651500352E-2
2.453870875E0,1.115110144E-2,-1.353497524E-2,-1.775710098E-2
2.463882875E0,1.399845444E-2,-2.672520932E-3,-1.934329793E-2
2.473894875E0,1.504827291E-2,1.813840354E-3,-2.276519313E-2
2.483906875E0,1.803507656E-2,6.697559729E-5,-2.310930938E-2
2.493917875E0,1.886092313E-2,-8.344618604E-3,-2.496899664E-2
2.503929875E0,1.656337269E-2,-1.756406948E-2,-2.753481455E-2
2.513941875E0,1.700758748E-2,-2.579749748E-2,-2.593638562E-2
2.523953875E0,1.975860447E-2,-3.514231369E-2,-2.716154046E-2
2.533965875E0,2.301565185E-2,-4.693052918E-2,-2.628642507E-2
2.543976875E0,2.531997114E-2,-5.557074398E-2,-2.810247988E-2
2.553988875E0,2.042614669E-2,-5.341305211E-2,-2.698315307E-2
2.564000875E0,1.188662462E-2,-4.567652196E-2,-3.099420667E-2
2.574012875E0,6.183465477E-3,-3.712111712E-2,-2.969351783E-2
2.584024875E0,-3.252033843E-3,-2.723212540E-2,-2.763192728E-2
2.594036875E0,3.376410168E-4,-2.221259847E-2,-2.670594491E-2
2.604047875E0,-7.464016788E-3,-1.214957237E-2,-2.494354919E-2
2.614059875E0,-4.439731129E-3,3.470666008E-3,-1.920763403E-2
2.624071875E0,-9.770344943E-3,1.559934765E-2,-1.813789457E-2
2.634083875E0,-1.226306427E-2,1.873308979E-2,-1.350026578E-2
2.644095875E0,-9.153336287E-3,1.763721183E-2,-1.183453761E-2
2.654107875E0,-7.647319231E-3,1.107198745E-2,-1.168140583E-2
2.664118875E0,-2.997487318E-4,1.465812046E-2,-1.019760780E-2
2.674130875E0,6.912357640E-3,2.685300261E-2,-8.472146466E-3
2.684142875E0,1.088432223E-2,4.324778169E-2,-1.059589814E-2
2.694154875E0,1.430781558E-2,4.586806893E-2,-1.226916257E-2
2.704166875E0,1.532342751E-2,3.966797516E-2,-1.208353415E-2
2.714177875E0,2.211395465E-2,2.759666368E-2,-9.776171297E-3
2.724189875E0,3.083804436E-2,1.475916989E-2,-4.174557980E-3
2.734201875E0,3.794628754E-2,-1.023521880E-3,-2.721004654E-3
2.744213875E0,4.106249288E-2,-1.696224511E-2,-2.376972698E-4
2.754225875E0,4.571583122E-2,-3.783849999E-2,2.306686714E-3
2.764237875E0,4.354099929E-2,-5.440810695E-2,7.233719807E-4
2.774248875E0,3.915237635E-2,-5.757061020E-2,8.107235190E-4
2.784260875E0,3.081998788E-2,-4.523722082E-2,2.363722306E-4
2.794272875E0,8.182853460E-3,-2.700867876E-2,8.102837019E-4
2.804284875E0,-1.206014585E-2,-7.656521164E-3,-2.755236812E-3
2.814296875E0,-2.568141744E-2,-2.488923492E-3,-5.251950119E-3
