"Time (s)","X (hPa)"
1.920606192E2,1.015709000E3
1.931271432E2,1.015709000E3
1.941936642E2,1.015709076E3
1.952602162E2,1.015711975E3
1.963267442E2,1.015711975E3
1.973932792E2,1.015711823E3
1.984598122E2,1.015711823E3
1.995262542E2,1.015711823E3
2.017904557E2,1.015752182E3
2.028236037E2,1.015750275E3
2.038567377E2,1.015748367E3
2.048898747E2,1.015736160E3
2.059230097E2,1.015736160E3
2.061148147E2,1.015757446E3
2.071812757E2,1.015757675E3
2.082478017E2,1.015766678E3
2.093142727E2,1.015781860E3
2.103807397E2,1.015781860E3
2.114472497E2,1.015778046E3
2.125137267E2,1.015764160E3
2.135802167E2,1.015757446E3
2.146467057E2,1.015753021E3
2.157131737E2,1.015753021E3
2.167796217E2,1.015759354E3
2.178460257E2,1.015768814E3
2.189124497E2,1.015768814E3
2.199789237E2,1.015764160E3
2.210453377E2,1.015761719E3
2.221117657E2,1.015758667E3
2.231782157E2,1.015746231E3
2.242446367E2,1.015745621E3
2.253110907E2,1.015745621E3
2.263775657E2,1.015745621E3
2.274440937E2,1.015745621E3
2.285105707E2,1.015749283E3
2.295770557E2,1.015749283E3
2.306435527E2,1.015748978E3
2.317100227E2,1.015747986E3
2.327764957E2,1.015745621E3
2.338429767E2,1.015736847E3
2.349094187E2,1.015729904E3
2.359758657E2,1.015727921E3
2.370422877E2,1.015724182E3
2.381087437E2,1.015723724E3
2.391751717E2,1.015723724E3
2.402415997E2,1.015732880E3
2.413080447E2,1.015740204E3
2.423745307E2,1.015746078E3
2.434409227E2,1.015759125E3
2.445073087E2,1.015759125E3
2.455737017E2,1.015750275E3
2.466401457E2,1.015746536E3
2.477065627E2,1.015744171E3
2.487729867E2,1.015739517E3
2.513511654E2,1.015735321E3
2.523842414E2,1.015730362E3
2.534172884E2,1.015725403E3
2.544503464E2,1.015723495E3
2.554834394E2,1.015722427E3
2.556753464E2,1.015721512E3
2.567417574E2,1.015711823E3
2.578081814E2,1.015707397E3
2.588746004E2,1.015701294E3
2.599409924E2,1.015693665E3
2.610073374E2,1.015689011E3
2.620737124E2,1.015689011E3
2.631401004E2,1.015689621E3
2.642065084E2,1.015691528E3
2.652729344E2,1.015692368E3
2.663393954E2,1.015696640E3
2.674058404E2,1.015702133E3
2.684722724E2,1.015705414E3
2.695386924E2,1.015717621E3
2.706050984E2,1.015729904E3
2.716715154E2,1.015735168E3
2.727379064E2,1.015736237E3
2.738043164E2,1.015737000E3
2.748707184E2,1.015737000E3
2.759371194E2,1.015736237E3
2.770034954E2,1.015732193E3
2.780699324E2,1.015728149E3
2.791363344E2,1.015723495E3
2.802027274E2,1.015715103E3
2.812691814E2,1.015706558E3
2.823356404E2,1.015698318E3
2.834021174E2,1.015694122E3
2.844685374E2,1.015689087E3
2.855350134E2,1.015689087E3
2.866014484E2,1.015691299E3
2.876678694E2,1.015699921E3
2.887343524E2,1.015706482E3
2.898008174E2,1.015716858E3
2.908672594E2,1.015726547E3
2.919337324E2,1.015726547E3
2.930002244E2,1.015725403E3
2.940666884E2,1.015723190E3
2.951331504E2,1.015718155E3
2.961995954E2,1.015706787E3
2.972660474E2,1.015698700E3
2.983325064E2,1.015694504E3
3.008162643E2,1.015682755E3
3.018494063E2,1.015680084E3
3.028825653E2,1.015682755E3
3.039157153E2,1.015682907E3
3.049488743E2,1.015716400E3
3.051407063E2,1.015724869E3
3.062072043E2,1.015736313E3
3.072737013E2,1.015739746E3
3.083402053E2,1.015752563E3
3.094066893E2,1.015752563E3
3.104731583E2,1.015750122E3
3.129489146E2,1.015657578E3
3.139819866E2,1.015659790E3
3.150150466E2,1.015661926E3
3.160481086E2,1.015674820E3
3.170811556E2,1.015691986E3
3.172730566E2,1.015710068E3
3.183394436E2,1.015714417E3
3.194058406E2,1.015726089E3
3.204722936E2,1.015737839E3
3.215387596E2,1.015745621E3
3.226052306E2,1.015747147E3
3.236716496E2,1.015747375E3
3.247380736E2,1.015747375E3
3.258044986E2,1.015748444E3
3.268708916E2,1.015749893E3
3.279373036E2,1.015752640E3
3.290037286E2,1.015753708E3
3.300701416E2,1.015756226E3
3.311365486E2,1.015759735E3
3.322029366E2,1.015762711E3
3.332693766E2,1.015767517E3
3.343357986E2,1.015774231E3
3.354022386E2,1.015780029E3
3.364687256E2,1.015782776E3
3.375351776E2,1.015782776E3
3.386016636E2,1.015780029E3
3.396681566E2,1.015773697E3
3.407346176E2,1.015759201E3
3.418010886E2,1.015742035E3
3.428675556E2,1.015729446E3
3.439340206E2,1.015722275E3
3.450004626E2,1.015722275E3
3.460669096E2,1.015727158E3
3.471333836E2,1.015743942E3
3.481998326E2,1.015761642E3
3.492663226E2,1.015773926E3
3.503328176E2,1.015783157E3
3.513993036E2,1.015791550E3
3.524657736E2,1.015796585E3
3.535322236E2,1.015803833E3
3.545985446E2,1.015810318E3
3.556648976E2,1.015813217E3
3.567313156E2,1.015813217E3
3.577977606E2,1.015806046E3
3.588642136E2,1.015793915E3
3.599306766E2,1.015780029E3
3.609971436E2,1.015770874E3
3.620635426E2,1.015770874E3
3.631299596E2,1.015772171E3
3.641964336E2,1.015773621E3
3.652629346E2,1.015778885E3
3.663293926E2,1.015782089E3
3.694861732E2,1.015690231E3
3.705193392E2,1.015695801E3
3.715524862E2,1.015700989E3
3.725856882E2,1.015701370E3
3.744445048E2,1.015657578E3
3.754776868E2,1.015655823E3
3.765108988E2,1.015654144E3
3.775441408E2,1.015645905E3
3.785774078E2,1.015642242E3
3.787690978E2,1.015637283E3
3.798356318E2,1.015636444E3
3.809021428E2,1.015631104E3
3.819686868E2,1.015630341E3
3.830353148E2,1.015623932E3
3.841019588E2,1.015618057E3
3.851685928E2,1.015612030E3
3.862352018E2,1.015608444E3
3.873018118E2,1.015606155E3
3.883684318E2,1.015604019E3
3.894350628E2,1.015602570E3
3.905016738E2,1.015602493E3
3.915682778E2,1.015601273E3
3.926349068E2,1.015601273E3
3.937015278E2,1.015603790E3
3.947681418E2,1.015607529E3
3.958346968E2,1.015608215E3
3.969012848E2,1.015612411E3
3.979678888E2,1.015618362E3
3.990345028E2,1.015621872E3
4.001011108E2,1.015627518E3
4.011677058E2,1.015635605E3
4.022342908E2,1.015638123E3
4.033009028E2,1.015638885E3
4.043675228E2,1.015638885E3
4.054341348E2,1.015640182E3
4.065007318E2,1.015640411E3
4.075673338E2,1.015642776E3
4.086339318E2,1.015645294E3
4.097005058E2,1.015646744E3
4.107671268E2,1.015648422E3
4.118337428E2,1.015648804E3
4.129003208E2,1.015649338E3
4.139668858E2,1.015649338E3
4.150334468E2,1.015647202E3
4.161000348E2,1.015641937E3
4.171666278E2,1.015638504E3
4.182332168E2,1.015633316E3
4.192998428E2,1.015627975E3
4.203664468E2,1.015627823E3
4.214330498E2,1.015627823E3
4.224996628E2,1.015628357E3
4.235662738E2,1.015630264E3
4.246328908E2,1.015632019E3
4.256994838E2,1.015632019E3
4.267660758E2,1.015630493E3
4.278327368E2,1.015628052E3
4.288993818E2,1.015624466E3
4.299660608E2,1.015621643E3
4.310327588E2,1.015621185E3
4.320994788E2,1.015620575E3
4.331662358E2,1.015620575E3
4.342329488E2,1.015621872E3
4.352996788E2,1.015624008E3
4.363664058E2,1.015625305E3
4.374330978E2,1.015628815E3
4.384997888E2,1.015634537E3
4.395664658E2,1.015637207E3
4.406331428E2,1.015640793E3
4.416998738E2,1.015642548E3
4.427665508E2,1.015642548E3
4.438331658E2,1.015642548E3
4.448998188E2,1.015642471E3
4.459664778E2,1.015643311E3
4.470331368E2,1.015642471E3
4.480997608E2,1.015642090E3
4.491664068E2,1.015642090E3
4.502330318E2,1.015643539E3
4.512996858E2,1.015645905E3
4.523662978E2,1.015648041E3
4.534329608E2,1.015654068E3
4.544996328E2,1.015654907E3
4.571530820E2,1.015699539E3
4.581863550E2,1.015691147E3
4.592196250E2,1.015683899E3
4.602528940E2,1.015683899E3
4.619325449E2,1.015727844E3
4.629325829E2,1.015724869E3
4.639326209E2,1.015721893E3
4.649326399E2,1.015721893E3
4.659326659E2,1.015729675E3
4.662908129E2,1.015731506E3
4.684625510E2,1.015758438E3
4.694626070E2,1.015752716E3
4.704626460E2,1.015746994E3
4.714626510E2,1.015746994E3
4.724626910E2,1.015749207E3
4.728208720E2,1.015749512E3
4.738875360E2,1.015751495E3
4.749542250E2,1.015751495E3
4.760209400E2,1.015751495E3
4.770876580E2,1.015745087E3
4.781543780E2,1.015740662E3
4.792210730E2,1.015735626E3
4.802877410E2,1.015733414E3
4.813544250E2,1.015733414E3
4.824211530E2,1.015737915E3
4.834878420E2,1.015742340E3
4.845544860E2,1.015749435E3
4.856211900E2,1.015755615E3
4.866879000E2,1.015763779E3
4.877546080E2,1.015763779E3
4.888213120E2,1.015763779E3
4.898880130E2,1.015767365E3
4.909547320E2,1.015772247E3
4.920214530E2,1.015774765E3
4.930881510E2,1.015782242E3
4.941547890E2,1.015791931E3
4.952214880E2,1.015792465E3
4.962881920E2,1.015793457E3
4.973549170E2,1.015793457E3
4.984216390E2,1.015790253E3
4.994883550E2,1.015786057E3
5.005550370E2,1.015780411E3
5.016217470E2,1.015779495E3
5.026884540E2,1.015779495E3
5.037551500E2,1.015779495E3
5.048218770E2,1.015779724E3
5.058885670E2,1.015778732E3
5.069553070E2,1.015775528E3
5.080219930E2,1.015768814E3
5.090886820E2,1.015767593E3
