"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.082092083E0,2.881090939E-1,3.580640852E-1,-8.533679843E-1
2.092104083E0,2.626612782E-1,2.071835250E-1,-8.650183082E-1
2.102116083E0,-5.987123773E-2,-3.643817008E-1,-7.957041860E-1
2.112128083E0,-7.498847842E-1,-7.603288889E-1,-8.280783296E-1
2.122141083E0,-1.389076471E0,-6.947589517E-1,-9.577191472E-1
2.132153083E0,-1.759486794E0,-6.949400902E-1,-1.063132524E0
2.142165083E0,-1.934472203E0,-7.298381925E-1,-1.172180176E0
2.152177083E0,-2.034574747E0,-7.743055224E-1,-1.320513368E0
2.162189083E0,-2.133185387E0,-7.496315837E-1,-1.453176618E0
2.172202083E0,-2.128058434E0,-5.721275806E-1,-1.502364516E0
2.182214083E0,-2.024981022E0,-5.114259124E-1,-1.492615223E0
2.192226083E0,-2.019230127E0,-1.196395278E0,-1.516441464E0
2.202238083E0,-1.977625012E0,-2.209401369E0,-1.523730516E0
2.212251083E0,-1.716882944E0,-2.754925013E0,-1.569353223E0
2.222263083E0,-1.404047251E0,-2.793169260E0,-1.560857773E0
2.232275083E0,-1.122071981E0,-2.769457817E0,-1.536290407E0
2.242287083E0,-8.489672542E-1,-2.820292711E0,-1.631053209E0
2.252299083E0,-5.599704981E-1,-2.927726269E0,-1.709103465E0
2.262312083E0,-2.380907685E-1,-3.195159674E0,-1.738627553E0
2.272324083E0,3.516213968E-2,-3.517812729E0,-1.852719784E0
2.282336083E0,1.965979040E-1,-3.317781210E0,-1.887891889E0
2.292348083E0,4.551029503E-1,-2.617704630E0,-1.689890385E0
2.302361083E0,8.388308883E-1,-1.565213799E0,-1.513171911E0
2.312373083E0,1.460269570E0,-8.222923279E-1,-1.662534952E0
2.322385083E0,2.079285622E0,-1.555098295E0,-1.984809637E0
2.332397083E0,2.023566723E0,-2.296185493E0,-2.134316444E0
2.342409083E0,1.508857608E0,-1.832396746E0,-2.299035549E0
2.352422083E0,1.224471211E0,-1.748224974E0,-2.421990633E0
2.362434333E0,1.368811607E0,-2.479994059E0,-2.265490055E0
2.372446333E0,1.259477258E0,-1.246583700E0,-1.668917179E0
2.382458333E0,1.140899181E0,-5.204760432E-1,-9.442339540E-1
2.392471333E0,6.032620072E-1,-7.115732431E-1,-2.822531760E-1
2.402483333E0,2.129999697E-1,9.507679343E-1,2.527636588E-1
2.412495333E0,-3.360570073E-1,2.749348164E0,7.028496861E-1
2.422507333E0,-1.123988152E0,4.230422020E0,1.118580341E0
2.432519333E0,-1.600842595E0,6.178432465E0,1.221802115E0
2.442532333E0,-1.788488388E0,7.632850647E0,1.017490983E0
2.452544333E0,-1.776734948E0,8.456903458E0,6.735288501E-1
2.462556333E0,-1.792294264E0,8.175906181E0,6.025670171E-1
2.472568333E0,-1.742699265E0,5.936433792E0,8.456895351E-1
