"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.593366224E2,-2.489362335E1,3.243634415E1,-2.138573456E1
6.593466374E2,-2.513299561E1,3.169874191E1,-2.184994507E1
6.593566524E2,-2.549181747E1,3.092794418E1,-2.247421265E1
6.593666674E2,-2.587310791E1,3.036967087E1,-2.297184753E1
6.593766834E2,-2.613283539E1,2.968503952E1,-2.376251984E1
6.593866984E2,-2.602172852E1,2.835084152E1,-2.539122009E1
6.593967134E2,-2.656954956E1,2.763536453E1,-2.543527985E1
6.594067284E2,-2.736873245E1,2.700688553E1,-2.484741974E1
6.594167434E2,-2.868593979E1,2.682630539E1,-2.412182617E1
6.594267594E2,-2.957089615E1,2.686543655E1,-2.357847595E1
6.594367744E2,-2.981770706E1,2.693920517E1,-2.337744904E1
6.594467894E2,-3.022205734E1,2.734271622E1,-2.311062622E1
6.594568044E2,-3.006628799E1,2.688657761E1,-2.283682251E1
6.594668194E2,-3.071154404E1,2.709418106E1,-2.161540222E1
6.594768354E2,-3.143106461E1,2.753744888E1,-2.062435913E1
6.594868504E2,-3.194858932E1,2.757884598E1,-1.955783844E1
6.594968654E2,-3.223887253E1,2.816500473E1,-1.792964935E1
6.595068804E2,-3.240385056E1,2.894255447E1,-1.622188568E1
6.595168954E2,-3.200020218E1,2.998964310E1,-1.489491653E1
6.595269114E2,-3.145263290E1,3.175172806E1,-1.409450531E1
6.595369264E2,-2.980470657E1,3.325455856E1,-1.328142929E1
6.595469414E2,-2.790416336E1,3.530877304E1,-1.262081146E1
6.595569564E2,-2.586981583E1,3.678196335E1,-1.227029800E1
6.595669714E2,-2.406174469E1,3.818230820E1,-1.189320755E1
6.595769874E2,-2.222258377E1,3.969903946E1,-1.165457535E1
6.595870024E2,-2.037876511E1,4.047528458E1,-1.084366226E1
6.595970174E2,-1.938629913E1,4.154793167E1,-9.993179321E0
6.596070324E2,-1.844659424E1,4.185605240E1,-9.095115662E0
6.596170474E2,-1.772406769E1,4.247316360E1,-8.595184326E0
6.596270634E2,-1.710091400E1,4.295641708E1,-8.203514099E0
6.596370784E2,-1.627245331E1,4.315163803E1,-8.042591095E0
6.596470934E2,-1.541226959E1,4.366818619E1,-7.910762787E0
6.596571084E2,-1.447960281E1,4.385492325E1,-8.108535767E0
6.596671234E2,-1.359696960E1,4.422345352E1,-7.898559570E0
6.596771394E2,-1.246720123E1,4.452533340E1,-7.968208313E0
6.596871544E2,-1.113673401E1,4.461223221E1,-7.760574341E0
6.596971694E2,-1.015079498E1,4.525712967E1,-7.668918610E0
6.597071844E2,-8.577568054E0,4.531914902E1,-7.131427765E0
6.597171994E2,-7.203407288E0,4.567122269E1,-7.035797119E0
6.597272154E2,-6.222396851E0,4.620090866E1,-6.647335052E0
