"Time (s)","X (hPa)"
1.786425827E2,1.015231400E3
1.797093507E2,1.015230713E3
1.807761157E2,1.015230713E3
1.818429387E2,1.015230713E3
1.829097967E2,1.015230255E3
1.839766657E2,1.015228043E3
1.850434357E2,1.015225906E3
1.861101907E2,1.015224457E3
1.871769417E2,1.015223846E3
1.882437177E2,1.015224457E3
1.893104957E2,1.015223770E3
1.903772327E2,1.015223770E3
1.914439797E2,1.015223160E3
1.925107287E2,1.015221863E3
1.935774937E2,1.015220032E3
1.946443007E2,1.015218277E3
1.957111117E2,1.015218048E3
1.967779307E2,1.015216827E3
1.978447637E2,1.015216064E3
1.989116487E2,1.015214996E3
1.999784917E2,1.015212860E3
2.010453727E2,1.015211563E3
2.021122007E2,1.015208664E3
2.031790617E2,1.015208282E3
2.042459207E2,1.015207748E3
2.053127627E2,1.015202789E3
2.063796247E2,1.015199356E3
2.074463987E2,1.015186539E3
2.102105554E2,1.015186920E3
2.112107034E2,1.015192871E3
2.122108344E2,1.015198822E3
2.132109154E2,1.015213089E3
2.145810934E2,1.015130920E3
2.155813034E2,1.015135727E3
2.165815084E2,1.015140533E3
2.175816924E2,1.015159454E3
2.185818784E2,1.015170670E3
2.189399004E2,1.015175400E3
2.200067714E2,1.015179520E3
2.210736444E2,1.015182266E3
2.221405164E2,1.015182266E3
2.232073744E2,1.015171356E3
2.242742904E2,1.015165482E3
2.253412394E2,1.015159225E3
2.264081434E2,1.015158310E3
2.274750284E2,1.015158310E3
2.285419214E2,1.015161896E3
2.296088164E2,1.015161896E3
2.306756914E2,1.015160599E3
2.317425534E2,1.015160599E3
2.328093884E2,1.015161896E3
2.338762634E2,1.015163193E3
2.349431234E2,1.015166779E3
2.360099744E2,1.015166779E3
2.370767974E2,1.015164795E3
2.381436204E2,1.015158157E3
2.392104644E2,1.015154572E3
2.402773544E2,1.015154572E3
2.413442384E2,1.015160065E3
2.424110954E2,1.015164261E3
2.434779124E2,1.015170975E3
2.445447724E2,1.015173035E3
2.456116094E2,1.015173950E3
2.466784354E2,1.015173950E3
2.477452724E2,1.015172653E3
2.488121414E2,1.015167160E3
2.498790014E2,1.015161743E3
2.509458624E2,1.015157318E3
2.520127394E2,1.015155563E3
2.530795774E2,1.015152435E3
2.541464504E2,1.015152435E3
2.552133074E2,1.015152817E3
2.562801534E2,1.015156784E3
2.573469984E2,1.015156784E3
2.584138804E2,1.015153046E3
2.594807784E2,1.015150375E3
2.605476224E2,1.015140457E3
2.616144944E2,1.015128403E3
2.626813784E2,1.015116425E3
2.637482134E2,1.015105286E3
2.648151164E2,1.015095367E3
2.658820014E2,1.015091400E3
2.669488644E2,1.015091400E3
2.680157674E2,1.015093079E3
2.690826444E2,1.015098724E3
2.701495154E2,1.015104599E3
2.712164134E2,1.015108795E3
2.742801469E2,1.015131378E3
2.752803029E2,1.015168228E3
2.762804689E2,1.015164032E3
2.772806499E2,1.015164032E3
2.782807899E2,1.015164032E3
2.786388219E2,1.015174408E3
2.797056779E2,1.015174408E3
2.807725239E2,1.015170746E3
2.818393619E2,1.015170746E3
2.829061839E2,1.015170746E3
2.839730439E2,1.015173111E3
2.850399279E2,1.015173111E3
2.861067809E2,1.015176392E3
2.871736539E2,1.015176468E3
2.882405609E2,1.015177917E3
2.893074589E2,1.015181656E3
2.903743239E2,1.015182571E3
2.914412209E2,1.015184250E3
2.925081439E2,1.015187378E3
2.935750529E2,1.015187988E3
2.946419739E2,1.015188446E3
2.957088369E2,1.015192261E3
2.967757049E2,1.015192413E3
2.978426249E2,1.015192413E3
2.989095149E2,1.015192413E3
2.999764189E2,1.015194321E3
3.010432629E2,1.015195312E3
3.021100139E2,1.015198898E3
3.031768359E2,1.015202789E3
3.042436829E2,1.015207138E3
3.053104939E2,1.015212631E3
3.063773819E2,1.015218735E3
3.074442789E2,1.015222321E3
3.085111559E2,1.015224152E3
3.095780649E2,1.015224152E3
3.106449779E2,1.015219193E3
3.117118649E2,1.015213699E3
3.127787389E2,1.015213699E3
3.138456319E2,1.015214157E3
3.149125149E2,1.015215530E3
3.159793909E2,1.015219574E3
3.170462349E2,1.015225449E3
3.181131349E2,1.015225449E3
3.191800549E2,1.015224380E3
3.202469179E2,1.015222931E3
3.213137409E2,1.015220642E3
3.223805369E2,1.015216370E3
3.234473389E2,1.015216370E3
3.245141609E2,1.015219650E3
3.255809669E2,1.015226364E3
3.266477909E2,1.015230560E3
3.277145769E2,1.015247574E3
3.287814119E2,1.015254288E3
3.298483099E2,1.015264435E3
3.309152079E2,1.015280380E3
3.319820359E2,1.015294800E3
3.330488729E2,1.015300598E3
3.341157349E2,1.015306931E3
3.351825949E2,1.015306931E3
3.362493919E2,1.015306091E3
3.373162279E2,1.015294647E3
3.396670915E2,1.015160599E3
3.413214325E2,1.015208282E3
3.423216225E2,1.015213318E3
3.433218625E2,1.015218353E3
3.443220975E2,1.015285034E3
3.453223295E2,1.015287323E3
3.474723012E2,1.015149155E3
3.484724542E2,1.015141449E3
3.494726182E2,1.015133820E3
3.504728362E2,1.015133820E3
3.514730512E2,1.015139771E3
3.518310462E2,1.015139771E3
3.528979182E2,1.015140457E3
3.539647832E2,1.015140457E3
3.550316422E2,1.015141068E3
3.560985402E2,1.015141068E3
3.571654582E2,1.015140457E3
3.582323282E2,1.015139847E3
3.592992522E2,1.015139160E3
3.603661812E2,1.015138474E3
3.614330632E2,1.015137634E3
3.624999742E2,1.015134735E3
3.635668432E2,1.015130997E3
3.646337522E2,1.015130768E3
3.657006482E2,1.015129318E3
3.667675272E2,1.015129242E3
3.678344132E2,1.015129242E3
3.689012842E2,1.015131912E3
3.699681712E2,1.015133286E3
3.710350772E2,1.015137253E3
3.721020012E2,1.015137253E3
3.731689182E2,1.015137253E3
3.742358052E2,1.015137253E3
3.753026442E2,1.015138168E3
3.763695062E2,1.015139008E3
3.774363862E2,1.015139008E3
3.785032462E2,1.015147552E3
3.795701342E2,1.015151138E3
3.806370352E2,1.015157242E3
