"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.839852230E2,-2.920028687E1,3.347940445E1,1.415108490E1
3.839952160E2,-2.924562836E1,3.340197754E1,1.438764191E1
3.840052090E2,-2.950629425E1,3.323070526E1,1.438896942E1
3.840152020E2,-2.989045715E1,3.328219223E1,1.417916870E1
3.840251960E2,-3.009574890E1,3.313320160E1,1.359584045E1
3.840351890E2,-3.013864136E1,3.309938049E1,1.362115479E1
3.840451820E2,-3.031977844E1,3.309423828E1,1.317048645E1
3.840551750E2,-3.037672424E1,3.319776917E1,1.272605133E1
3.840651680E2,-3.037090302E1,3.322892380E1,1.259371185E1
3.840751610E2,-3.070878601E1,3.327162170E1,1.232740021E1
3.840851550E2,-3.109956360E1,3.284265900E1,1.184263611E1
3.840951480E2,-3.153514862E1,3.263175964E1,1.145601654E1
3.841051410E2,-3.174630737E1,3.241754532E1,1.135430908E1
3.841151340E2,-3.176644135E1,3.235081482E1,1.123820496E1
3.841251270E2,-3.176644135E1,3.235081482E1,1.123820496E1
3.841351200E2,-3.180843353E1,3.241882324E1,1.128267670E1
3.841451140E2,-3.173763275E1,3.240000534E1,1.131070709E1
3.841551070E2,-3.172183990E1,3.253525925E1,1.167510986E1
3.841651000E2,-3.164009857E1,3.271223450E1,1.141573334E1
3.841750930E2,-3.154757690E1,3.275733948E1,1.125736237E1
3.841850860E2,-3.141526031E1,3.271364594E1,1.114993286E1
3.841950790E2,-3.142243958E1,3.301194000E1,1.080850220E1
3.842050730E2,-3.145453644E1,3.312366104E1,1.036799622E1
3.842150660E2,-3.143846893E1,3.341219330E1,9.848548889E0
3.842250590E2,-3.121477509E1,3.365940094E1,9.335174561E0
3.842350520E2,-3.103411865E1,3.408244705E1,9.163436890E0
3.842450450E2,-3.070458984E1,3.433292389E1,8.993591309E0
3.842550380E2,-3.057389069E1,3.472549438E1,8.744491577E0
3.842650320E2,-3.003477478E1,3.493762589E1,8.322074890E0
3.842750250E2,-2.969982147E1,3.561150360E1,8.359001160E0
3.842850180E2,-2.898014832E1,3.580338287E1,7.900230408E0
3.842950110E2,-2.839602661E1,3.646512604E1,7.782409668E0
3.843050040E2,-2.781552887E1,3.689449310E1,7.469963074E0
3.843149970E2,-2.721987915E1,3.745454407E1,7.623291016E0
3.843249910E2,-2.664424133E1,3.791078949E1,7.603950500E0
3.843349840E2,-2.609812927E1,3.823622131E1,7.746475220E0
3.843449770E2,-2.559567261E1,3.840351105E1,7.353401184E0
3.843549700E2,-2.532741547E1,3.886650848E1,7.097511292E0
3.843649627E2,-2.510588837E1,3.897528076E1,6.393074036E0
3.843749557E2,-2.529476929E1,3.920114899E1,5.534645081E0
3.843849497E2,-2.529476929E1,3.920114899E1,5.534645081E0
3.843949427E2,-2.519281769E1,3.919880676E1,4.345924377E0
